# iterazione   metodo_sqrt              metodo_rapporto
  248      250.866345209901539      250.866345209901482
  249      250.866345209901539      250.866345209901482
  250      250.866345209901539      250.866345209901482
  251      250.866345209901539      250.866345209901482
  252      250.866345209901539      250.866345209901482
  253      250.866345209901539      250.866345209901482
  254      250.866345209901539      250.866345209901482
  255      250.866345209901539      250.866345209901482
  256      250.866345209901539      250.866345209901482
  257      250.866345209901539      250.866345209901482
  258      250.866345209901539      250.866345209901482
  259      250.866345209901539      250.866345209901482
  260      250.866345209901539      250.866345209901482
  261      250.866345209901539      250.866345209901482
  262      250.866345209901539      250.866345209901482
  263      250.866345209901539      250.866345209901482
  264      250.866345209901539      250.866345209901482
  265      250.866345209901539      250.866345209901482
  266      250.866345209901539      250.866345209901482
  267      250.866345209901539      250.866345209901482
  268      250.866345209901539      250.866345209901482
  269      250.866345209901539      250.866345209901482
  270      250.866345209901539      250.866345209901482
  271      250.866345209901539      250.866345209901482
  272      250.866345209901539      250.866345209901482
  273      250.866345209901539      250.866345209901482
  274      250.866345209901539      250.866345209901482
  275      250.866345209901539      250.866345209901482
  276      250.866345209901539      250.866345209901482
